dataset_name,least_count,total_graphs_train_val,total_graphs_test,vocabulary_size,graphs_with_motifs_train_val,graphs_with_motifs_test,node_coverage_train_val,node_coverage_test,motif_length_train,motif_length_test
Mutagenicity,0,6904,768,3818,6904,640,1.0,0.7645724121743213,4.642991929979524 +- 3.802632063337301,3.583425009167583 +- 6.499307611682219
Mutagenicity,1,6904,768,1290,5751,632,0.7730169573601515,0.6977544793052187,3.589111494760509 +- 2.8721920398007383,3.2702603593692703 +- 6.395776230113273
Mutagenicity,2,6904,768,745,5638,630,0.6962462059960395,0.6631718957828026,3.2326655157184727 +- 2.625117381671001,3.108177484415108 +- 6.322142798691361
Mutagenicity,3,6904,768,559,5620,628,0.6574111705853359,0.6379000078241139,3.0523547597061067 +- 2.485388965565461,2.98973230656399 +- 6.2817205128246885
Mutagenicity,4,6904,768,445,5602,627,0.6234791556773864,0.6170096236601205,2.8948086883205524 +- 2.3223799202136646,2.891822515584892 +- 6.118523290535402
Mutagenicity,5,6904,768,371,5589,627,0.599742310386275,0.5947108989906893,2.7845987071907494 +- 2.236650680517775,2.7873120645397873 +- 6.0029072853954055
Mutagenicity,6,6904,768,328,5575,627,0.5836064439698037,0.5780455363430091,2.7096800096358455 +- 2.1758967185751836,2.7092042537587093 +- 5.953420749866143
Mutagenicity,7,6904,768,296,5563,625,0.5704711915118079,0.5687348407792817,2.6486931384751276 +- 2.1338237767053827,2.6655665566556657 +- 5.935576399309882
Mutagenicity,8,6904,768,260,5552,621,0.5540067276013247,0.5487833502855801,2.5722487654073154 +- 2.074906231537533,2.572057205720572 +- 5.828931954638838
Mutagenicity,9,6904,768,241,5539,619,0.5461463296524649,0.538064314216415,2.5357530011643314 +- 2.063581284270308,2.5218188485515216 +- 5.825035965736147
Mutagenicity,10,6904,768,226,5530,619,0.5348183634115338,0.5309443705500352,2.4831573453246074 +- 1.980267793799046,2.4884488448844886 +- 5.733463247331267
Mutagenicity,15,6904,768,163,5461,613,0.4966318756863796,0.4919020420937329,2.3058577909824547 +- 1.8819080419742322,2.3054638797213056 +- 5.4537789264115535
Mutagenicity,20,6904,768,127,5409,609,0.4656140017121659,0.46224865034034895,2.1618420524350586 +- 1.802088417778431,2.1664833149981666 +- 5.361008302447945
Mutagenicity,30,6904,768,91,5322,601,0.42293956400300925,0.41616461935685783,1.9637049825350303 +- 1.676425062363268,1.9504950495049505 +- 5.075439633983601
hERG,0,8887,988,3355,8887,984,1.0,0.9500373340259066,4.256344586728754 +- 2.8676604457795105,4.030298856906763 +- 7.403818513986913
hERG,1,8887,988,1789,8868,984,0.9496271174078734,0.9220205824108041,4.041940240589833 +- 2.7262374997779215,3.9114447045861453 +- 7.372105182255829
hERG,2,8887,988,1275,8867,983,0.9198256842258812,0.9025419601986819,3.915095071788902 +- 2.6609489070591996,3.828811458476794 +- 7.3503190645148155
hERG,3,8887,988,1021,8863,983,0.8968510110679576,0.8823815862091354,3.817306946061312 +- 2.6008106956384633,3.7432860487536153 +- 7.318220058483944
hERG,4,8887,988,887,8862,983,0.8817533687070365,0.866571437846963,3.753046177726038 +- 2.5623910806844217,3.6762153973281917 +- 7.291311372014195
hERG,5,8887,988,799,8858,983,0.8696278467625768,0.8530662597798916,3.7014357780364766 +- 2.5344961951648615,3.6189230133590415 +- 7.2537034889808085
hERG,6,8887,988,700,8856,983,0.853983188374086,0.8360549297146382,3.6348467209934032 +- 2.5085152980994834,3.546756645090208 +- 7.235779070545027
hERG,7,8887,988,640,8855,983,0.8432361468191018,0.8272895497191832,3.589103608847497 +- 2.489120670036051,3.5095716843409996 +- 7.214411789110112
hERG,8,8887,988,585,8855,983,0.8320332585744762,0.8194981008343343,3.541420256111758 +- 2.4695261514228957,3.4765183858972595 +- 7.188236386701978
hERG,9,8887,988,536,8851,983,0.8205787429571686,0.807810927507061,3.492665890570431 +- 2.4494371030096955,3.4269384382316486 +- 7.165676351445704
hERG,10,8887,988,498,8850,983,0.8115712123698557,0.7985910463266565,3.454326736515328 +- 2.436772570731249,3.387825368406556 +- 7.142683349202707
hERG,15,8887,988,373,8839,981,0.7696880185256094,0.7568418660520079,3.276057431121459 +- 2.3554033497821703,3.210714777578846 +- 6.97034346228356
hERG,20,8887,988,312,8832,980,0.7407763980817972,0.7353504528779664,3.152999611951882 +- 2.2821078507165,3.1195427627048615 +- 6.7798982248600925
hERG,30,8887,988,239,8825,980,0.6977590576737231,0.6939259163068532,2.9699029879705083 +- 2.2096244280955473,2.9438093926456412 +- 6.597094669757888
BBBP,0,1672,187,1340,1672,181,1.0,0.816579634464752,4.098995695839311 +- 3.07467306983224,3.1697635135135136 +- 5.743447621018863
