architecture,dataset,model_type,C1_mose_vs_sigmoid,C2_vanilla_vs_sigmoid,C3_vanilla_vs_gnnex,C4_vanilla_vs_pgex
GATConv,Mutagenicity,RBRICS,0.34958990132341006,0.04159811305518367,-0.0010231995314509497,0.016465942552069762
GATConv,hERG,RBRICS,0.22037287053733118,-0.02478791738389228,0.17037001834489238,0.12473759257716426
GATConv,Lipophilicity,RBRICS,0.27839291441159825,0.15640034386332985,-0.175024213962367,-0.0763857761061593
GATConv,BBBP,RBRICS,0.1064135350295366,-0.04644008112417158,0.17167438388531514,-0.008594833150927085
GATConv,esol,RBRICS,0.08083194523429725,0.09807532674204057,0.18820504250108527,0.12972313509226394
GINConv,Mutagenicity,RBRICS,0.04192221090903536,-0.011674915891082905,0.058905995283602984,
GINConv,hERG,RBRICS,0.05774383158713286,-0.008531527160094391,0.0899741702112555,0.08994117324842534
GINConv,Lipophilicity,RBRICS,0.07722168110573138,0.027408294699277004,0.010384060809543719,-0.018967520270611795
GINConv,BBBP,RBRICS,0.018228878109276456,-0.005250581805770397,0.02294563399637696,-0.006127360730062722
GINConv,esol,RBRICS,0.014135510109336828,0.01277727220429989,-0.01382181555656808,0.0022915087007527655
GCNConv,Mutagenicity,RBRICS,0.4244142534569658,0.24793269269775614,0.23843897955679466,0.15768602221194092
GCNConv,hERG,RBRICS,0.2820404981711152,0.0010111446659826163,0.037403789719499037,-0.0725001378246413
GCNConv,Lipophilicity,RBRICS,0.33478072361606387,0.25330424289075143,0.04208865173209667,-0.08305614808345527
GCNConv,BBBP,RBRICS,0.022287947919098317,-0.04657079412502873,0.15922461113029035,0.1012355447834603
GCNConv,esol,RBRICS,0.1282664296622955,0.0814826701541261,0.1704681233981932,0.05138679713432432
