architecture,dataset,model_type,C1_mose_vs_sigmoid,C2_vanilla_vs_sigmoid,C3_vanilla_vs_gnnex,C4_vanilla_vs_pgex
GATConv,Mutagenicity,RBRICS,0.5143565522456973,0.03204438051391247,0.030599740570421047,0.09410665830161027
GATConv,hERG,RBRICS,0.35572423993671864,-0.044309021354394774,0.27398390092574737,0.24058200360770796
GATConv,Lipophilicity,RBRICS,0.3896985161342352,0.22539219119711776,-0.2429558953612463,-0.011202896325440555
GATConv,BBBP,RBRICS,0.208822685705565,-0.07373758188199385,0.34279254473842324,0.10185783363763987
GATConv,esol,RBRICS,0.15540225372968897,0.15757011495614473,0.3295973141934872,0.24226290285038302
GINConv,Mutagenicity,RBRICS,0.06757687809592844,-0.03795590441011776,0.10144863763959777,
GINConv,hERG,RBRICS,0.09593748375447324,-0.011500427756358674,0.14641165530685685,0.025171950696698225
GINConv,Lipophilicity,RBRICS,0.13143553242441242,0.05989948101471846,0.02692990785189875,0.009120280402550807
GINConv,BBBP,RBRICS,0.037103070797624,-0.008692021816194904,0.04128779457490336,-0.0042635431084280155
GINConv,esol,RBRICS,0.007353155424724551,0.0063465789386342375,-0.01948474898118727,0.0016786401698808326
GCNConv,Mutagenicity,RBRICS,0.7212689599176658,0.44375600282532296,0.4077028346185786,0.17109264773437063
GCNConv,hERG,RBRICS,0.43906275547116896,-0.01658500313766869,0.09975380300449689,0.011129267233400231
GCNConv,Lipophilicity,RBRICS,0.5016516807260011,0.38033848415602267,0.1671922116332799,-0.0815360488914467
GCNConv,BBBP,RBRICS,0.08041420584073924,-0.029284911521761374,0.3814277108831708,0.3156689301501969
GCNConv,esol,RBRICS,0.234622344960303,0.12320178178597517,0.27375984266945125,0.12386235182231987
