,smiles,BBBP,group
0,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1,1,training
1,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCC[C@H]1N1CCCC1,1,training
2,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,1,training
3,c1ccc(-c2nc(N3CCNCC3)cc3ccccc23)cc1,1,training
4,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0,training
5,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,1,test
6,CCOC(=O)C[C@@H](O)C[C@@H](O)/C=C/C1=C(c2ccc(F)cc2)c2ccccc2OC12CCCC2,1,training
7,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,1,valid
8,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,1,training
9,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,1,test
10,CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1,0,training
11,COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C,1,training
12,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0,training
13,O=C1CN2CCOC2(c2ccccc2F)c2cc(Cl)ccc2N1CCO,1,training
14,CC(C)(C)C(=O)SCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1,training
15,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,1,training
16,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,0,training
17,CCOC(=O)NNC(C)c1ccccc1,1,training
18,CC12NC(Cc3ccccc31)c1ccccc12,1,training
19,O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1,1,training
20,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,1,training
21,OC(CCCN1CCc2c(c3cc(F)ccc3n2-c2ccc(F)cc2)C1)c1ccc(F)cc1,1,training
22,C[C@H]1CCCC[C@@]1(c1cccs1)N1CCCCC1,1,training
23,CCNCc1c(CSC)cnc(C)c1O,1,training
24,Cc1c2c(cn1C)NC(=O)CN=C2c1ccccc1,1,training
25,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,training
26,O=C1CC(c2cccc(Br)c2)C(=O)N1,1,training
27,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,0,valid
28,NC(=O)C1c2ccccc2C=Cc2ccccc21,1,training
29,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,1,training
30,CC(=O)[C@@]1(O)[C@H](O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1,training
31,O=C(CCN1CCN(CCO)CC1)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21,1,training
32,NC(N)=N/N=C/c1c(Cl)cccc1Cl,0,valid
33,COc1cc2c(cc1OC)C(c1ccc(N)cc1)=NN=C(C)C2,1,training
34,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,1,training
35,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0,training
36,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(O)CO,1,test
37,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,1,training
38,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,1,training
