,smiles,Mutagenicity,group
0,CC(CC(=O)O)C(=O)O,0,training
1,OC1C=Cc2cc3c(cc2C1O)-c1cccc2cccc-3c12,1,training
2,COc1cc(OC)c(C2OC2C)cc1OC,1,training
3,CN(C)c1ccc(N=Nc2ccccc2)cc1,1,training
4,CC=CC(=O)OC1CC2OC3=CC(C)C(=O)CC3(C)C1(C)C21CO1,0,training
5,O=c1c2[nH]c3ccccc3c2nnn1N=Cc1ccc([N+](=O)[O-])cc1,1,training
6,Nc1nc(O)c2[nH]nnc2n1,0,training
7,BrCc1ccc2c3c(cccc13)-c1ccccc1-2,1,training
8,Cc1ccc2c(c1)Cc1cc(C)ccc1-2,0,training
9,Cc1ccc2cc3c(c4c2c1CC4)C1OC1c1ccccc1-3,1,training
10,c1scc2c1-c1cscc1C1OC21,1,valid
11,CCC/C=C/C(=O)OC1C(C)(C)CC2C1(O)C=C(C=O)C13CC21C(=O)OC3O,1,training
12,CCOP(=S)(OCC)OP(=S)(OCC)OCC,1,training
13,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0,training
14,CNC1Cc2cccc3cccc(c23)C1,1,training
15,CC(=O)Nc1nc(/C=C\c2ccc([N+](=O)[O-])o2)cs1,1,test
16,NC(Cc1ccc(O)c(O)c1)C(=O)O,1,test
17,O=C(Cl)c1ccc(Cl)cc1,0,training
18,Cc1ccc(N=Nc2ccc(C)c(N)c2)cc1N,1,training
19,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,1,test
20,CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,0,training
21,CC/C=C/C=C/C=C/C=C/C=C/OCC(C)O,1,training
22,C1=CC2OC2c2ccc3c4c5c(cccc5cc3c21)C=C4,1,training
23,Fc1cc(F)c2cccnc2c1,1,training
24,CON(C)C(=O)Nc1ccc(Br)cc1,0,training
25,Cc1ccc(NO)c(C)c1,1,training
26,O=C(O)/C=C/c1ccc(O)c(O)c1,0,training
27,BrCc1ccccc1,1,training
28,O=C(O)/C=C/c1ccc([NH+]([O-])O)o1,1,training
29,C[C@H]1CN(N=O)C(=O)NC1=O,1,training
30,C[C@H](CCl)OP(=O)(O[C@H](C)CCl)O[C@H](C)CCl,0,training
31,C=CC(=O)OC[C@H](CC)CCCC,0,training
32,CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC,0,test
33,c1ccc(N=Nc2ccccc2)cc1,1,training
34,CC(=O)OC1C2CC(C)(C)CC2=C(C=O)C2(C=O)CC12C,0,training
35,CN1CCN(C)CC1,0,training
36,CCc1cc(O)cc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,1,training
37,Fc1cccc(F)n1,0,training
38,N=C(N)NN=C(/C=C/c1ccc([NH+]([O-])O)o1)/C=C/c1ccc([NH+]([O-])O)o1,1,training
39,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N(C)C)[C@@H](O)[C@H](C)O1,1,training
40,[O-][N+](O)=CCl,1,test
41,C=C1C(=O)OC2CC(C)C3CC(O)OC(O)C3(C)CC12,1,training
42,c1cnc2c3c(ccc2c1)CCC1OC31,1,training
43,Cc1c(Cn2ccnc2)c2cc([N+](=O)[O-])ccc2n1Cc1ccccc1,1,training
44,OC/C=C/c1ccccc1,0,training
45,c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21,1,valid
46,CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O,0,training
47,CCOP(=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0,test
48,CC(C)NC[C@@H](O)COc1cccc2c1OC[C@@H](O[N+](=O)[O-])C2,0,training
49,[O-][NH+](O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,valid
50,CCC(CC)[N+](=O)[O-],0,test
51,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,1,training
52,CCOP(=S)(CC)Sc1ccccc1,0,training
53,CC(C)(Cl)Cl,0,test
54,OCC(Cl)CCl,1,valid
55,ClCc1cccnc1,1,training
56,Cc1cc(N)c([N+](=O)[O-])cc1N,1,training
57,O=c1[nH][nH]c(=O)c2ccccc12,0,training
58,CC(Cl)(Cl)[NH+]([O-])O,1,training
59,CC1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0,test
60,[O-][n+]1cc2ncccc2cn1,0,training
61,CN(C)C(=S)SNCCNSC(=S)N(C)C,1,training
62,COc1ccc(C=Nn2nnc3c([nH]c4ccccc43)c2=O)cc1,1,training
63,O=[N+]([O-])c1ccc2ccc3c(O)ccc4c5ccccc5c1c2c34,1,test
64,c1ccc2cc([C@@H]3CO3)ccc2c1,1,training
65,c1ccc(-c2ccc(C3CO3)cc2)cc1,1,valid
66,O=[N+]([O-])c1cccc(O)c1,1,training
67,CCn1cc(C(=O)O)c(=O)c2cc(F)c(-c3ccc(O)cc3)c(F)c21,1,training
68,Nc1ccc2c(c1)-c1ccccc1C2,1,test
69,O=C(c1ccc(F)cc1)C1OC1c1ccccc1,1,training
70,CCCCCCCCCCCCCCCCCCCC,0,valid
71,O=[N+]([O-])c1cc2ccc3cc4ccccc4c4ccc(c1)c2c34,1,valid
72,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@H](NC(C)=O)CC2,0,training
73,O=[N+]([O-])c1cc2c3c(c1)CCc1c4c(cc(c1-3)CC2)CCCC4,1,training
74,COC1COC(COCC2COC(OC)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O,0,training
75,CCCCC[C@@H](CC)OC(=O)c1cccc(C(=O)O[C@H](CC)CCCCC)c1,0,test
76,O=C(Cl)C(Cl)c1ccccc1,1,training
77,Cc1ccc2c(c1)C(C)c1cc(C)ccc1-2,0,training
78,Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,1,valid
79,CC1CCC(C(C)C)CC1,0,valid
80,CCN(CC)c1cc(NC(C)=O)c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC,1,test
81,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,0,test
82,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C,0,training
83,CCCCOCCCC,0,training
84,COC(=O)[C@]12O[C@@]1(C)[C@H](C(C)C)OC2=O,1,training
85,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0,training
86,FC(F)(F)c1ccccc1,0,valid
87,Nc1ncnc2c1ncn2Cc1ccc([N+](=O)[O-])cc1,1,training
88,O=S(=O)(O)c1cc(Nc2ccc([NH+]([O-])O)cc2[NH+]([O-])O)ccc1Nc1ccccc1,1,training
89,CN(C)c1ccncc1,0,test
90,O=C1c2ccccc2C(=O)c2c1ccc([C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c2O,1,training
91,COc1ccc2oc3cc(O)cc(O)c3c(=O)c2c1,1,valid
92,CCOc1ccc(NC(C)=O)cc1[NH+]([O-])O,1,training
93,O=[N+]([O-])c1ccccc1Nc1ccccc1,0,training
94,COC(=COC(N)=O)c1c(O)c(N2CC2)c(C)c(O)c1N1CC1,1,training
95,ClCc1ccc2c3c(cccc13)-c1ccccc1-2,1,training
96,CCC(=O)O,0,training
97,CCCCN(N=O)C(=N)N[NH+]([O-])O,1,training
98,CCCCCCCCCCCCCO,0,valid
99,N#Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1,1,training
100,C=C1CCC=C(C)CCC2C1CC2(C)C,0,test
101,O=C1C=Cc2ccccc2C1=O,1,training
102,CC(C)N=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,training
103,CCc1cnccn1,0,training
104,CNC(=O)NOC(=O)NC,1,training
105,CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,0,training
106,Nc1ncnc2c1ncn2C(c1ccccc1)c1ccccc1,1,valid
107,CCCN1CCN(c2ccc([NH+]([O-])O)c3no[n+]([O-])c23)CC1,1,valid
108,CCCCCCC1CO1,0,training
109,IC(I)I,1,training
110,Cc1c2ccccc2c(COS(=O)(=O)O)c2ccc3ccccc3c12,1,training
111,CC(C)(C)CC(C)(C)c1ccc(O)cc1,0,training
