,smiles,BBBP,group
0,CN(C)CCc1ccccn1,1,training
1,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,1,training
2,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,1,training
3,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,1,test
4,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,0,training
5,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,1,training
6,C#CCN(C)[C@H](C)Cc1ccccc1,1,valid
7,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,1,valid
8,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0,training
9,Cc1cc(C(C)(C)SC(C)(C)CNc2[nH]ccc2[N+](=O)[O-])nc(C)c1C,1,training
10,CNc1nc(Cl)c(SC)c(N2CCN(C)CC2)n1,1,training
11,CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,1,valid
12,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1,1,training
13,NNC(=O)c1ccncc1,0,training
14,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,test
15,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,0,valid
16,Clc1ccccc1C1=NCc2nnc(C3CCCCC3)n2-c2sc(Br)cc21,1,training
17,Cc1cccc(O[C@H]2CCNC[C@H]2O)c1C,1,training
18,CCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,1,training
19,NC(=O)C1c2ccccc2C=Cc2ccccc21,1,valid
20,Cc1cccc2c1Oc1ccccc1C1(O)CCN(C)CC21,1,training
21,O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1,1,training
22,CC1OC(O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)C(O)C(O)C1O,0,training
23,CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,1,test
24,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0,valid
25,O=C1NC(=O)C2(c3ccc(Cl)cc3)CC12,1,test
26,Fc1ccc(-c2ccc(CN3CCN(c4cccc5ccoc45)CC3)[nH]2)cc1,1,training
27,O=C1Nc2ccc(Cl)nc2C(c2ccccc2Cl)=NC1O,1,training
28,CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1,1,training
29,CCC(=O)O[C@]1(C(=O)SCCl)[C@H](C)C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,training
30,COc1ccc(OCC2CN(C)CCC2c2ccccc2)cc1,1,training
31,CCCCC(=O)O[C@]1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1,training
32,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,0,training
33,Nc1nc(=S)c2[nH]cnc2[nH]1,0,training
34,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,1,training
35,CC(=O)NC(CCC(N)=O)C(=O)O,1,training
36,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1,training
37,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,0,training
38,OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,1,training
39,CN1C(=O)CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,1,training
40,Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCN(C)C[C@@H]21,1,training
41,OCCC1CCN(CC/C=C2\c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,1,training
42,CNC1CCC(c2ccccc2)c2ccccc21,1,training
43,CC1=CC(=C2C=CC(=O)C=C2)NN=C1NCCN1CCOCC1,1,training
44,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1,training
45,COc1cc2c(cc1OC)[C@@H](c1ccccc1)CN(C)CC2,1,training
46,CNC[C@H](O)CC12CCC(c3ccccc31)c1ccccc12,1,test
47,CCCCC(=O)O[C@]1(C(=O)CO)CCC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1,test
48,CC1(C)S[C@@H]2[C@H](NC(=O)c3nc4ccccc4nc3C(=O)O)C(=O)N2[C@H]1C(=O)O,0,training
49,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,1,training
50,CN(C)CCOC(=O)COc1ccc(Cl)cc1,1,test
