,smiles,Mutagenicity,group
0,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,1,training
1,CC1CCC2CC1C2(C)C,0,training
2,O=NN1CCCC(Cl)C1,1,training
3,Cc1ccc([N+](=O)[O-])cc1C,1,training
4,O=CN(O)c1ccc([N+](=O)[O-])cc1,1,training
5,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,0,training
6,CC(=O)c1ccc(N=O)cc1,1,training
7,COC1=CC(=O)c2c(nc(C)c3c2[nH]c2ccccc23)C1=O,1,training
8,O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)CCCC4O,1,training
9,Oc1ccc(Cl)cc1Cc1ccccc1,0,training
10,Cn1c2ccccc2c2cc(N)ccc21,1,training
11,O=C(O)C1OC(N(O)c2ccc(-c3ccccc3)cc2)C(O)C(O)C1O,1,training
12,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],1,training
13,O=[N+]([O-])c1ccc(-c2nc(=NCCO)c3ccccc3[nH]2)s1,1,training
14,Oc1cc(Cl)c(Cl)c(Cl)c1,0,training
15,O=C(NCc1ccccc1)C1CO1,1,training
16,CC(=O)Nc1nc(NC(C)=O)nc(-c2ccc([N+](=O)[O-])o2)n1,1,training
17,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,1,training
18,CCOP(=O)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],0,training
19,Cn1c2ccc3cc2c(=S)c2cc(ccc21)OCCOCCOCCOCCOCCOCCO3,0,training
20,CC(=O)Nc1ccnc2ccccc12,0,test
21,ClC(Cl)(Cl)C1CO1,1,training
22,CNN,1,training
23,CCOc1ccc(NC(N)=O)cc1,0,training
24,CCOC(=O)N(CCC=O)N=O,1,training
25,Cc1c(/C=N/OCc2ccc(Cl)cc2Cl)c2cc([N+](=O)[O-])ccc2n1Cc1ccc(Cl)cc1,0,valid
26,Clc1ccc(-c2nc3ccccc3o2)cc1,0,training
27,Nc1c(Br)cc(Br)c2c1C(=O)c1ccccc1C2=O,1,training
28,CNc1ccc2nccnc2c1C,1,training
29,OCc1ccc(O)cc1,0,valid
30,O=C(O)C(Cl)CCl,0,training
31,Cc1cc(=O)oc2cc(O)ccc12,0,training
32,COC(=O)c1cccc2oc3c4c(cc(OC)c3c(=O)c12)O[C@@H]1OC=C[C@@H]41,1,training
33,Cc1cc2ccccc2c2cc3c(cc12)C=CC(O)C3O,1,training
34,OC1C=Cc2c(c3ccccc3c3cc4ccccc4cc23)C1O,1,training
35,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0,training
36,COc1ccc2c(c1)C1CCCCC1C=C2,1,training
37,CCN(CC)c1ccc(N=O)c(O)c1,0,test
38,N#Cc1ccc2[nH]c(N)nc2c1,1,training
39,O=[N+]([O-])c1cccc2c1oc1ccccc12,1,training
40,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0,training
41,CN(C)CCN1C=CN(C)C1/C=N/O,0,training
42,N#CC(Cl)Cl,1,training
43,Nc1ccc(/C=C/c2ccc(N)cc2)cc1,1,valid
44,Cn1c([N-][N+]#N)nc2ccc3ncccc3c21,1,training
45,O=C(C=Cc1ccccc1[N+](=O)[O-])c1ccccc1,0,training
46,CCCCC/C(C=O)=C/c1ccccc1,0,training
47,CCSCCC(N)C(=O)O,0,training
48,Cc1ccc2cc3c(ccc4ccccc43)cc2c1,1,training
49,O=P1(N(CCCl)CCCl)NC(O)CCO1,1,valid
50,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1,training
51,O=[N+]([O-])c1cc2c3c(cccc3c1)-c1ccccc1-2,1,training
52,CC(=O)OC[C@H]1O[C@@H](Oc2cccc3c2C(=O)c2c(O)cccc2C3=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,1,valid
53,O=C(c1ccccc1)N(O)c1ccc2c(c1)Cc1ccccc1-2,1,training
54,CCC(=O)/N=c1\sn(C(=O)CC)c2ccc([N+](=O)[O-])cc12,1,training
55,Nc1ccc2c([nH]c3ccccc32)c1[N+](=O)[O-],1,training
56,[O-][NH+](O)c1ccccc1C(F)(F)F,0,test
57,CC(C)(C)NCC(O)COc1ccc(O)cc1C1CCCC1,0,training
58,CCN=NC(C)(C)OO,0,training
59,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0,training
60,C/C=C1/CC(C)C(C)(OC(C)=O)C(=O)OCC2=CCN(C)CCC(OC1=O)C2=O,1,test
61,OCCOc1cc(Cl)c(Cl)cc1Cl,0,valid
62,COc1ccc(O)c(C(C)(C)C)c1,0,valid
