Unnamed: 0,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,group,tox21
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26023,NS(=O)(=O)Cc1noc2ccccc12,training,4
1,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,TOX28893,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,training,4
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX14669,C#CCN1CC(=O)N(COC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)C1=O,training,4
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25300,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,training,4
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX3435,CCCC(C)C1(CC)C(=O)N=C(O)NC1=O,training,4
5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX24886,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,training,2
6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1772,CC1(N)CCC(C(C)(C)N)CC1,training,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX25136,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,training,2
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX442,O=C(O)COc1ccc(Cl)cc1Cl,training,4
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1790,O=[N+]([O-])c1ccccc1O,training,4
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,TOX26827,O=C(O[C@@H]1C[C@@H]2C[C@@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,training,4
11,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9218,CCc1ccc(Br)cc1,test,4
12,,,,,,,,1.0,,1.0,,,TOX26675,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,training,2
13,0.0,,1.0,,0.0,0.0,,1.0,1.0,0.0,,,TOX12600,O=C(O)C1(C(=O)Nc2ccc(Cl)cc2Cl)CC1,training,3
14,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24354,CCCCN(CCO)CCO,test,4
