motif_id,motif,mage_usage_frequency
0,*C*,0.9946562051773071
1,*O*,0.0
2,*C(*)=O,0.0
3,*SC(C)(C)C(*)*,0.0
4,*C(*)N(*)*,0.0
5,*C(=O)C(*)*,0.0
6,*N*,0.0
7,*C(=O)C(*)N,0.0
8,*c1ccccc1,0.0
9,*CCC,0.0
10,*C(=*)C(*)(C)C(*)(F)C(*)C(*)C(*)(C)C(*)(*)C(*)*,0.0
11,*CC(*)F,0.0
12,*CCC(=O)C=*,0.0
13,*CC(*)O,0.0
14,*C(=O)CO,0.0
15,*N(C)C,0.0
16,*OC,0.0
17,*c1cc(*)c(*)c(*)c1,0.0
18,*CCCC(*)=O,0.0
19,*CCC*,0.0
20,*c1ccc(F)cc1,0.0
21,*CCCC,0.0
22,*C(*)C,0.0
23,*N1CCCCCC1,0.0
24,*CC(*)=O,0.0
25,*NC,0.0
26,*c1ccccc1Cl,0.0
27,*C(=O)C(*)(*)*,0.0
28,*C(=O)C(*)C(=O)O,0.0
29,*C(=O)O,0.0
30,*CC,0.0
31,*N(*)*,0.0
32,*CC*,0.0
33,*c1ccc(Cl)cc1,0.0
34,*C(=*)C(*)(C)C(*)(F)C(*)C(*)C(*)(*)C,0.0
35,*CCC(*)(*)O,0.0
36,*C1CCN(*)CC1,0.0
37,*OC(C)(C)O*,0.0
38,*CO*,0.0
39,*C#C,0.0
40,*CC(*)C,0.0
41,*c1ccc(*)c(*)c1,0.0
42,*C(C)=O,0.0
43,*C(=*)C(*)(C)C(*)C(*)C(*)C(*)(*)C,0.0
44,*CCC(*)O,0.0
45,*C(N)=O,0.0
46,*c1ccncc1,0.0
47,*N1CCN(*)CC1,0.0
48,*c1cccc(Cl)c1,0.0
49,*N1CCN(C)CC1,0.0
50,*C(*)=C,0.0
51,*c1c(O)ccc(Cl)c1*,0.0
52,*C(=*)O,0.0
53,*C(=*)C(*)*,0.0
54,*C(*)C(*)(*)O,0.0
55,*C(=O)C(C(=O)C(*)*)=C(N)O,0.0
56,*C(*)O,0.0
57,*C1CN(*)CCN1*,0.0
58,*N1CCC(O)C1,0.0
59,*c1ccccc1*,0.0
60,*CN,0.0
61,*C1OC(*)C(O)C(O)C1N,0.0
62,*C1C(N)CC(N)C(*)C1O,0.0
63,*C1OC(*)C(O)C(N)C1O,0.0
64,*CO,0.0
65,*CC(*)*,0.0
66,*C(*)*,0.0
67,*c1cccc(*)c1*,0.0
68,*CC(*)C*,0.0
69,*c1ccc(*)c(*)c1*,0.0
70,*OCO*,0.0
71,*C(O)C(Cl)(Cl)Cl,0.0
72,*S*,0.0
73,*CCO,0.0
74,*CCCC(*)*,0.0
75,*C(F)(F)F,0.0
76,*c1cccc(*)c1,0.0
