Dataset,Architecture,Type,Fold,EXPL_LR,GNN_LR,Missing Files
hERG,SAGE,RBRICS,1,0.01,0.0001,Folder matching pattern not found
hERG,GAT,RBRICS,2,0.01,0.0001,Folder matching pattern not found
hERG,GIN,RBRICS,2,0.01,0.0001,Folder matching pattern not found
hERG,SAGE,RBRICS,2,0.01,0.0001,Folder matching pattern not found
hERG,GCN,RBRICS,2,0.01,0.0001,Folder matching pattern not found
hERG,GAT,RBRICS,3,0.01,0.0001,Folder matching pattern not found
hERG,GIN,RBRICS,3,0.01,0.0001,Folder matching pattern not found
hERG,SAGE,RBRICS,3,0.01,0.0001,Folder matching pattern not found
hERG,GCN,RBRICS,3,0.01,0.0001,Folder matching pattern not found
esol,GAT,RBRICS,1,0.01,0.0001,"../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-1-GAT-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_train.csv, ../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-1-GAT-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_validation.csv, ../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-1-GAT-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_test.csv"
esol,GCN,RBRICS,1,0.01,0.0001,"../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-1-GCN-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_train.csv, ../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-1-GCN-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_validation.csv, ../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-1-GCN-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_test.csv"
esol,GCN,RBRICS,2,0.01,0.0001,"../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-2-GCN-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_train.csv, ../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-2-GCN-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_validation.csv, ../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-esol-SEED-0-FOLD-2-GCN-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/esol_explanation_result_with_test.csv"
Lipophilicity,GAT,RBRICS,0,0.01,0.0001,"../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-Lipophilicity-SEED-0-FOLD-0-GAT-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/Lipophilicity_explanation_result_with_train.csv, ../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-Lipophilicity-SEED-0-FOLD-0-GAT-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/Lipophilicity_explanation_result_with_validation.csv, ../STABLE/RBRICS_MINORITY_MP3_DIM16/MOSE_Reg/EXPT-14R-Lipophilicity-SEED-0-FOLD-0-GAT-EXPLLR0.01-GNNLR0.0001-SingleChannel-RBRICS/Lipophilicity_explanation_result_with_test.csv"
