dataset_name,least_count,total_graphs_train_val,total_graphs_test,vocabulary_size,graphs_with_motifs_train_val,graphs_with_motifs_test,node_coverage_train_val,node_coverage_test,motif_length_train,motif_length_test
tox21,0,7047,784,4026,7047,691,1.0,0.7927901601959393,3.987203762521378 +- 3.000588540570445,3.234548745797776 +- 5.68063930293719
tox21,1,7047,784,1363,6119,684,0.7707537133134108,0.7416942598203728,3.290312729049597 +- 2.3878473471459323,3.0444789242306696 +- 5.649163188744649
tox21,2,7047,784,869,6063,681,0.7189254346920679,0.7093673416210543,3.0654165648668457 +- 2.2061914425553253,2.916472717869149 +- 5.620837442754736
tox21,3,7047,784,657,6027,678,0.6878663909484681,0.6803939787830074,2.9314683606156855 +- 2.103231922862476,2.7796741660201705 +- 5.498874876752189
tox21,4,7047,784,526,5996,678,0.6647695963420037,0.6691466643991528,2.8259223063767407 +- 2.0308208494098863,2.727178691492113 +- 5.450410127500933
tox21,5,7047,784,447,5989,677,0.6464445159567918,0.6521628773509717,2.7405631566088444 +- 1.972713093734086,2.655029738815619 +- 5.407587769023368
tox21,6,7047,784,390,5981,676,0.6320766563351472,0.6413291897227795,2.6769789885169804 +- 1.9432945658358662,2.6056374450478406 +- 5.383522583287824
tox21,7,7047,784,343,5961,675,0.6182534324607838,0.6276820093072589,2.6196860493525533 +- 1.921026135642756,2.5559865528833723 +- 5.357070277710045
tox21,8,7047,784,307,5950,675,0.606742150673539,0.618634727963669,2.563492548253115 +- 1.8829732192858433,2.5161623997931213 +- 5.308066548396041
tox21,9,7047,784,282,5935,674,0.598292055795405,0.6109921454670587,2.5250122159785 +- 1.8681077171101934,2.47737264028963 +- 5.281564539605809
tox21,10,7047,784,267,5926,674,0.5911224812327391,0.6071099200619849,2.4987478622037624 +- 1.8570153707106947,2.4621153348849236 +- 5.264014516618864
tox21,15,7047,784,199,5885,671,0.5599156823278338,0.5767731209902951,2.3605546054238946 +- 1.8074331658654497,2.3377295060770624 +- 5.207790915564498
tox21,20,7047,784,164,5843,668,0.5359267959077525,0.5507091654262616,2.255283410701197 +- 1.7702754076161777,2.2402379105249546 +- 5.125625207207594
tox21,30,7047,784,114,5784,662,0.4951793815340125,0.5078514887291369,2.072898851698021 +- 1.6926815481510527,2.068787173519524 +- 4.929701141475441
