Architecture,Type,Train Metric,Validation Metric,Test Metric
GINConv,RBRICS,0.9252433677,0.8422842821,0.8712751213
GATConv,MGSSL,0.8738898962,0.8421052632,0.8458073458
GATConv,RBRICS,0.888264592,0.8925714286,0.8086466165
GINConv,RBRICS,0.9502706943,0.9245689655,0.8828231293
GINConv,RBRICS,0.9355965437,0.8729310345,0.904877261
GCNConv,RBRICS,0.8842653421,0.8965714286,0.8246240602
GCNConv,MGSSL,0.8666284187,0.863047619,0.8573308271
GCNConv,RBRICS,0.9245951365,0.9249137931,0.8833333333
GATConv,MGSSL,0.8727941176,0.7956896552,0.8733850129
GINConv,RBRICS,0.9358316086,0.8792618079,0.9283573141
GCNConv,RBRICS,0.9204490837,0.873433584,0.871968122
GCNConv,RBRICS,0.9142035437,0.8717547701,0.9013788969
GCNConv,MGSSL,0.8892984122,0.852361589,0.9292565947
GINConv,RBRICS,0.9284441049,0.9135238095,0.8278195489
GATConv,MGSSL,0.8856065311,0.8746551724,0.8804421769
GCNConv,MGSSL,0.9016739656,0.8986206897,0.8891156463
GATConv,MGSSL,0.8836995171,0.8497028464,0.9166666667
GINConv,MGSSL,0.902035216,0.8084482759,0.8832364341
GCNConv,MGSSL,0.8024478601,0.7310344828,0.8322028424
GINConv,MGSSL,0.935894843,0.9237931034,0.9107142857
GATConv,RBRICS,0.9135629198,0.9054310345,0.8741496599
GATConv,RBRICS,0.8945526793,0.8335123523,0.8567221067
GCNConv,RBRICS,0.7961120422,0.724137931,0.8438307494
GATConv,RBRICS,0.9096976438,0.835,0.8935723514
GINConv,MGSSL,0.9337647204,0.9020766201,0.8801108801
GATConv,RBRICS,0.9153759865,0.8686268377,0.9051258993
GATConv,MGSSL,0.8733972771,0.868,0.8507518797
GCNConv,MGSSL,0.8659748209,0.8383458647,0.8283090783
GINConv,MGSSL,0.9014419919,0.8931428571,0.8744360902
GINConv,MGSSL,0.9402457146,0.8872380357,0.9382494005
GATConv,None,0.896465531,0.8475132937,0.9162170264
GCNConv,None,0.8568486971,0.8220206444,0.8814448441
GINConv,None,0.9268351962,0.8909915546,0.912470024
GATConv,None,0.8364446706,0.8613333333,0.7765037594
GINConv,None,0.8607961378,0.895047619,0.8114661654
GCNConv,None,0.8318925189,0.8666666667,0.787593985
