Architecture,Type,Train Metric,Validation Metric,Test Metric
GCNConv,RBRICS,0,0,0
GINConv,MGSSL,0,0,0
GATConv,RBRICS,0,0,0
GINConv,RBRICS,0,0,0
GINConv,MGSSL,0,0,0
GINConv,RBRICS,0,0,0
GATConv,MGSSL,0,0,0
GINConv,MGSSL,0,0,0
GINConv,RBRICS,0,0,0
GCNConv,MGSSL,0,0,0
GCNConv,RBRICS,0,0,0
GCNConv,MGSSL,0,0,0
GCNConv,RBRICS,0,0,0
GATConv,RBRICS,0,0,0
GINConv,RBRICS,0,0,0
GATConv,RBRICS,0,0,0
GATConv,RBRICS,0,0,0
GATConv,MGSSL,0,0,0
GATConv,MGSSL,0,0,0
GATConv,MGSSL,0,0,0
GCNConv,MGSSL,0,0,0
GINConv,MGSSL,0,0,0
GCNConv,MGSSL,0,0,0
GCNConv,RBRICS,0,0,0
GINConv,None,0,0,0
GINConv,None,0,0,0
GCNConv,None,0,0,0
GCNConv,None,0,0,0
GATConv,None,0,0,0
