Architecture,Type,Train Metric,Validation Metric,Test Metric
GATConv,RBRICS,0.6817272305,0.6892603636,0.7725185156
GINConv,MGSSL,0.7585116625,0.7992358804,0.8407899737
GCNConv,RBRICS,0.7011737823,0.7734296918,0.691582799
GATConv,RBRICS,0.7152738571,0.7954856157,0.6989510655
GATConv,MGSSL,0.7556550503,0.7621510029,0.8306972384
GCNConv,RBRICS,0.7039445639,0.6846015453,0.6753244996
GATConv,RBRICS,0.7234418392,0.7613016367,0.7714067101
GATConv,RBRICS,0.6920221448,0.6781613827,0.7054617405
GATConv,MGSSL,0.7552981973,0.8113507628,0.799194932
GCNConv,MGSSL,0.7306668162,0.7337166071,0.8063444495
GCNConv,RBRICS,0.6772844195,0.6925776601,0.7778397202
GATConv,MGSSL,0.7799713016,0.7463633418,0.7585772276
GINConv,RBRICS,0.6091191769,0.6729184389,0.7296299934
GINConv,MGSSL,0.623175025,0.6621361971,0.6733046174
GCNConv,RBRICS,0.7353895903,0.7595603466,0.7654492259
GATConv,MGSSL,0.763648808,0.8502678871,0.7843912244
GINConv,RBRICS,0.622115314,0.6708014011,0.6692506671
GCNConv,MGSSL,0.7403733134,0.8305098414,0.7422978878
GCNConv,MGSSL,0.7652515769,0.8094236851,0.8067147136
GATConv,RBRICS,0.6926717758,0.7128564119,0.6844747663
GCNConv,MGSSL,0.7771711349,0.7570672631,0.7573285699
GINConv,MGSSL,0.6924721599,0.7135894895,0.7977238297
GINConv,MGSSL,0.6509955525,0.6620202661,0.6731607914
GINConv,MGSSL,0.7245336771,0.7969349623,0.777112782
GINConv,RBRICS,0.6549375653,0.7444871068,0.7326665521
GCNConv,MGSSL,0.752494812,0.7282124162,0.7086939216
GINConv,RBRICS,0.6231799126,0.676987946,0.6758329272
GATConv,MGSSL,0.766362071,0.7468991876,0.7383081913
GINConv,RBRICS,0.6956265569,0.7745867372,0.7349614501
GCNConv,RBRICS,0.6932471395,0.7097597718,0.6903119087
GINConv,None,0.6763138771,0.6923002005,0.6749483943
GCNConv,None,0.7757918835,0.7515363693,0.7536654472
GCNConv,None,0.7619352341,0.7393767834,0.7163520455
GINConv,None,0.7154675722,0.7198982239,0.7272088528
GATConv,None,0.772588253,0.759360373,0.7465545535
GATConv,None,0.8006879091,0.8385359645,0.843178153
GCNConv,None,0.7731868029,0.8095220327,0.7919920683
GINConv,None,0.6941750646,0.7584379911,0.7725220323
GATConv,None,0.7794790268,0.777718544,0.752107501
GCNConv,None,0.7618818283,0.8215405941,0.7373451591
GINConv,None,0.7095957994,0.725084126,0.774964571
GCNConv,None,0.7544631362,0.7629283071,0.8022312522
GATConv,None,0.7924075127,0.8518788218,0.7870391011
GINConv,None,0.6875136495,0.7650972009,0.7148262858
