Architecture,Type,Train Metric,Validation Metric,Test Metric
GCNConv,RBRICS,0.8633129317,0.8367875826,0.812065614
GATConv,RBRICS,0.8837724396,0.855146307,0.8302280725
GINConv,MGSSL,0.8808980894,0.8342385296,0.8427538192
GINConv,RBRICS,0.8973796462,0.8674027538,0.8690259736
GATConv,RBRICS,0.8665498793,0.7826803483,0.8249738224
GINConv,RBRICS,0.8917887922,0.8458926729,0.8565829528
GCNConv,RBRICS,0.8781847779,0.8591173958,0.8335534093
GINConv,MGSSL,0.875270122,0.8306374064,0.8251449151
GINConv,RBRICS,0.9000960011,0.8353698743,0.8274875665
GATConv,MGSSL,0.838065122,0.787237424,0.8019305582
GINConv,MGSSL,0.8699261102,0.845688081,0.8512976162
GINConv,RBRICS,0.8976559164,0.8321413765,0.8564286061
GCNConv,MGSSL,0.7933132133,0.7466348811,0.7713217805
GCNConv,RBRICS,0.8575119395,0.8001100791,0.8249238965
GCNConv,MGSSL,0.7995615506,0.7756105951,0.7924726719
GATConv,MGSSL,0.8475450977,0.8207442115,0.8175247326
GCNConv,RBRICS,0.8635815454,0.7980115393,0.7836803293
GATConv,RBRICS,0.8477553294,0.8234419837,0.8117586877
GINConv,RBRICS,0.9019923141,0.8721149754,0.8599256556
GATConv,RBRICS,0.8541002928,0.800254558,0.8167185554
GATConv,RBRICS,0.8471624406,0.7781269318,0.7629154519
GATConv,MGSSL,0.8395548921,0.8163984732,0.8140231218
GATConv,MGSSL,0.8289043814,0.7663129336,0.769816498
GATConv,MGSSL,0.8323900586,0.7950292398,0.8184066694
GCNConv,MGSSL,0.7924033617,0.766994357,0.782368789
GINConv,MGSSL,0.8789772677,0.8399862401,0.8560571468
GCNConv,MGSSL,0.7944261452,0.7429940243,0.7517304064
GCNConv,RBRICS,0.8620679132,0.7939849364,0.8212153363
GINConv,MGSSL,0.8808725911,0.8490671093,0.8622301188
GCNConv,MGSSL,0.8103581209,0.7725868807,0.7804517204
GINConv,None,0.8649664942,0.8349776402,0.8450982427
GCNConv,None,0.735238737,0.708681915,0.7049253987
GATConv,None,0.7921598285,0.7774614447,0.7854570091
GATConv,None,0.7302278276,0.7014149323,0.6973692334
GCNConv,None,0.7913221196,0.7603682974,0.7962928291
GATConv,None,0.7800404278,0.7428655334,0.7896079941
GINConv,None,0.8590056179,0.8370896434,0.8537666678
GINConv,None,0.8749381423,0.8673152078,0.8528106355
GCNConv,None,0.8000971184,0.7893640245,0.7941411179
GCNConv,None,0.7773363831,0.7342724458,0.7864397399
GCNConv,None,0.7746719497,0.7583729041,0.7668047039
GINConv,None,0.8714564726,0.8292053026,0.8317441262
GATConv,None,0.7583585845,0.7164568283,0.7710045662
GINConv,None,0.8700713594,0.8314572968,0.8568238712
