Architecture,Type,Train Metric,Validation Metric,Test Metric
GATConv,MGSSL,0.4511398971,0.5094620585,0.5094015598
GINConv,MGSSL,0.5163454413,0.512403965,0.5305590034
GCNConv,MGSSL,0.4218845963,0.4820594788,0.4122684002
GCNConv,MGSSL,0.405412972,0.3833699524,0.4032971859
GCNConv,RBRICS,0.3797572255,0.39913854,0.4343486428
GATConv,RBRICS,0.4000092447,0.4079422057,0.4298439324
GCNConv,MGSSL,0.4470911622,0.4933129549,0.5051576495
GCNConv,RBRICS,0.3785761893,0.4135368466,0.3879928589
GATConv,RBRICS,0.381125927,0.4306488633,0.4058765471
GATConv,MGSSL,0.4129740596,0.4783252478,0.4056665599
GCNConv,RBRICS,0.3830473125,0.3775768578,0.3974579871
GINConv,MGSSL,0.3998191357,0.4644276202,0.4386985302
GCNConv,RBRICS,0.4112683237,0.4697037339,0.5008951426
GINConv,RBRICS,0.3410075009,0.4349566698,0.3936637342
GATConv,MGSSL,0.4329285622,0.4365432262,0.4488986135
GATConv,RBRICS,0.4380739629,0.4928618968,0.5225115418
GATConv,RBRICS,0.4160432816,0.4251333177,0.415158093
GATConv,MGSSL,0.4754677713,0.4905245304,0.4958853722
GINConv,RBRICS,0.3951542079,0.4830223024,0.4664872289
GINConv,RBRICS,0.4152605534,0.5025333762,0.4528348446
GATConv,RBRICS,0.4042513967,0.433986336,0.4853804708
GINConv,MGSSL,0.3997674584,0.4352464378,0.4578564763
GINConv,MGSSL,0.4130846262,0.4719764888,0.4455477893
GCNConv,RBRICS,0.3979406357,0.4219409823,0.3895362318
GCNConv,MGSSL,0.4883503914,0.4840806425,0.4887625575
GATConv,MGSSL,0.398678422,0.4062057734,0.4152420759
GCNConv,MGSSL,0.4398782551,0.4322250187,0.4567112923
GINConv,RBRICS,0.4089896679,0.4325425625,0.4599157274
GINConv,RBRICS,0.4583564401,0.5281462669,0.6002587676
GINConv,MGSSL,0.4319018424,0.4737839699,0.5076091886
GINConv,None,0.4491004944,0.4497022331,0.4898257554
GATConv,None,0.4376847148,0.4447763562,0.4477396011
GATConv,None,0.448183924,0.4686357975,0.4395987689
GCNConv,None,0.4272164702,0.4845964313,0.4168438017
GCNConv,None,0.4118262529,0.4196732342,0.4066355824
GINConv,None,0.3950842023,0.4472462535,0.4636100829
GATConv,None,0.4614573717,0.4553192854,0.4663419425
GINConv,None,0.4768830836,0.521109879,0.5313850641
GINConv,None,0.4366181493,0.514161706,0.5317685008
GCNConv,None,0.4879368246,0.4742003977,0.4921840429
GATConv,None,0.4756473005,0.5123471618,0.5258584023
GATConv,None,0.4152466655,0.4732042253,0.4216093421
GCNConv,None,0.4638618231,0.5038209558,0.5243586302
GCNConv,None,0.487585187,0.5028628111,0.4850739837
GINConv,None,0.4091910124,0.5110105872,0.4634316862
